time,sensorid,software_version,SDS_P1,SDS_P2,BME280_temperature,BME280_pressure,BME280_humidity,lat,long
2025-02-07T14:06:19.672515,esp8266-3075797,NRZ-2024-135,5.35,2.08,21.14,93975.53,27.94, 37.18653666666667,-3.599926666666667
2025-02-07T14:08:19.822608,esp8266-3075797,NRZ-2024-135,6.2,2.08,17.14,94113.44,33.43, 37.18606333333333,-3.600763333333333
2025-02-07T14:10:19.954069,esp8266-3075797,NRZ-2024-135,4.72,2.0,16.79,94168.28,34.68, 37.18564166666667,-3.60173
2025-02-07T14:12:20.080475,esp8266-3075797,NRZ-2024-135,33.08,9.82,16.67,94274.28,35.28, 37.18455666666667,-3.602925
2025-02-07T14:14:20.232454,esp8266-3075797,NRZ-2024-135,4.53,2.58,18.13,94293.94,32.88, 37.184470000000005,-3.602875
2025-02-07T14:16:26.367074,esp8266-3075797,NRZ-2024-135,7.07,2.83,16.82,94311.0,35.18, 37.184264999999996,-3.603183333333333
2025-02-07T14:18:26.501399,esp8266-3075797,NRZ-2024-135,7.85,2.3,15.54,94326.63,37.71, 37.18427166666667,-3.6032183333333334
2025-02-07T14:20:26.625900,esp8266-3075797,NRZ-2024-135,16.33,4.28,15.04,94340.78,39.58, 37.18579833333333,-3.6081283333333336
2025-02-07T14:22:26.762116,esp8266-3075797,NRZ-2024-135,6.15,3.15,14.51,94333.78,40.81, 37.18583666666667,-3.6086766666666668
2025-02-07T14:24:26.871893,esp8266-3075797,NRZ-2024-135,10.55,3.05,14.7,94391.22,40.42, 37.185698333333335,-3.6101799999999997
2025-02-07T14:26:27.006756,esp8266-3075797,NRZ-2024-135,139.65,15.07,15.1,94176.75,62.03, 37.185545000000005,-3.610451666666666
